,likes,replies,retweets,text,timestamp,user
44,2,0,1,Been working on a project for #zambezimagic and the D-day is near!!!..am excited #tizibika… https://www.instagram.com/p/BeLOPmSARcF/ ,2018-01-21 20:41:56,Ericmuleproduct
45,9,0,4,#Tizibika...... dont miss it!! pic.twitter.com/Mll0LOJfEh,2018-01-21 11:14:11,kathlyn_47
46,7,0,3,Look out for appearances by your favourite celebrities . #Tizibika .  Don't  forget 8th Feb 22:00 hours. pic.twitter.com/Wtb0dbjRPD,2018-01-21 10:52:24,arushapot
47,6,1,2,Then @KatongoChiluba and @jeSuis_Amy are the two main actress of The show #Tizibika,2018-01-21 10:48:58,arushapot
48,7,1,3,"Makeup was by @@kathlyn_47  , who by the way did the makeup on my dp .  #Tizibika",2018-01-21 10:47:29,arushapot
49,12,1,5,"#Tizibika was created and written  by @tozy_b , @Mister_Entitled gets special mention here too ",2018-01-21 10:44:30,arushapot
50,33,2,17,"Well its finally here, set to air on The 8th of Feb on @zambezimagictv, its #Tizibika . Co Directed by yours truly.  #Divadiarys cc @tozy_bpic.twitter.com/EAGXc2HzMJ",2018-01-21 10:40:16,arushapot
51,6,1,4,"Tune in to Zambezi magic on 8 feb at 22hrs to catch the comedy #Tizibika created by @tozy_b and starring @jeSuis_Amy 
The thread below is a q&a on what the show is about
Feel free to ask more questions!https://twitter.com/Curate_Zed/status/954994362211061760 …",2018-01-21 9:33:14,Curate_Zed
52,0,1,0,"So, when does #Tizibika air, and what can we expect?",2018-01-21 9:20:11,Curate_Zed
53,5,2,7,"Hey, i didn't star in it just wrote and produced it. #tizibika is a mokumentary about two slay queens trying to become famous. So one of them 'accidentally' leaks her sex tape and the other is trying to bag herself a famous boyfriend.",2018-01-21 8:32:13,tozy_b
54,4,4,2,"@tozy_b is the star of a mockumentary show #Tizibika 
Tozya, could you tell us a little about what the show will be about?
#LetsTalkZed",2018-01-21 8:29:37,Curate_Zed
55,1,0,0,#Tizibika  https://twitter.com/tozy_b/status/954724700927741952 …,2018-01-20 21:54:49,Mtrain187
56,3,0,0,Watch #Tizibika (I act as suzyo) on @zambezimagictv starting february 8th (on thursday) at 22hrs and  repeats on Friday at 18:30.... #ZambeziMagic #zambia #ZmTizibika #series #zedtwitter,2018-01-20 16:51:12,Kaysibo1
57,7,0,3,New TV show coming to Zambezi Magic #Tizibika tell somebody to tell somebody pic.twitter.com/Tcf2wBBYpM,2018-01-20 15:45:19,Mister_Entitled
58,10,0,5,#Tizibika #ZambeziMagic coming soon!pic.twitter.com/G5NqTvVkMk,2018-01-20 15:17:14,kathlyn_47
