2018-02-16 22:37:50,"b'RT @MwabaW: I actually look forward to watching #Tizibika atleast, otherwise #Vina simaningi mweh.'"
2018-02-16 22:37:43,"b'RT @iAMchisha: That pallet bed, really nice @deejay_vixen looking at you #Tizibika'"
2018-02-16 22:37:35,b'RT @iAMchisha: LOL this Charles dude on #Tizibika is extra extra Wezi na shokwa'
2018-02-16 22:37:23,"b""RT @iAMchisha: LOL upon hearing ati K70 pin Wezi's demeanor LOL #Tizibika"""
2018-02-16 22:37:20,b'RT @malamakasanda: Shout out to my girl Amy. You giving #Tizibika new life. Proud of you.'
2018-02-16 22:37:03,"b""RT @MwamwaT: Watching #tizibika for the first time today and I must say I'm \xf0\x9f\x98\x8d can't stop \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82"""
2018-02-16 22:36:47,b'RT @mz_obika: Tizibika comes on too late(10pm)!!!! It should be right after Zuba please! #tizibika'
2018-02-16 22:36:35,b'RT @ZedTrending: Currently topping the #Trending list on #ZedTwitter:\n\n#Tizibika'
2018-02-16 22:36:24,"b'RT @Mkay_Legends: #Tizibika is in a class of its own,  thanks #ZambesziMagic for another wonderful Zambian Show'"
2018-02-16 22:36:13,"b""RT @zambezimagictv: ICYMI: Check out the highlights from last night's episode of #Tizibika by clicking on the image below. \nMake sure to tu\xe2\x80\xa6"""
2018-02-16 22:36:06,b'RT @PetersenZambia: #tizibika is some another level reasoning for TV. I love such minds'
2018-02-16 22:35:32,b'RT @MissNyambe: @MsRettaLi @KatongoChiluba Come with me and Monde when we visit mum in Chingola lol #Tizibika'
2018-02-16 22:24:34,b'RT @MwambiK: Me after Tizibika finishes and Vina comes on\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82..What happened guys?#Tizibika https://t.co/6xANhUK3BB'
2018-02-16 22:24:02,"b""RT @joannaakuzike: can #tizibika be longer please? They're so many shows that it can replace \xf0\x9f\x92\x80\xe2\x9d\xa4"""
2018-02-16 22:23:50,b'RT @KusalokaKabwit1: @kaffie_latte Thanks for support and am glad you enjoyed.#Tizibika'
2018-02-16 22:23:43,b'RT @NammmyK: Compared to zuba #Tizibika makes more sense mweh'
2018-02-16 22:23:31,b'RT @joannaakuzike: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82when they bleep out the name. We all know\xf0\x9f\x92\x80#Tizibika'
2018-02-16 22:23:23,b'RT @Nalahru: Yaaaasss #tizibika! When your #BaCharles does right by you.. https://t.co/pqxfISKw7x'
2018-02-16 22:23:04,b'RT @LuluHaangala: FINALLY watched #Tizibika its ARRRMMMAAAZZZIIINNGG!!! #wekeepmoving'
2018-02-16 22:22:51,b'RT @RacheaRm: #Tizibika i would love to know the amazing director behind this cool show ...atlest #ZambeziMagic is bring us fun shows mwe'
2018-02-16 22:22:43,"b'RT @MelissaShevon: Well Episode 2 #Tizibika not bad, I can tell that this will be my favourite show.'"
2018-02-16 22:22:31,b'RT @MwambiK: @KatongoChiluba aty Tryness\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82..#Tizibika'
2018-02-16 22:11:11,b'When you hear the sale is on Friday 23rd and you had no idea.. #Tizibika \n\xf0\x9f\x8f\xa1 Riverside Ex Zambezi Way near UCZ\n Item\xe2\x80\xa6 https://t.co/aR8q40CUal'
2018-02-16 22:02:43,b'RT @MwamwaT: Watched the 2nd episode of #Tizibika twice cause as usual my brain is always over thinking and I need to be certain about deci\xe2\x80\xa6'
2018-02-16 21:05:55,b'Watched the 2nd episode of #Tizibika twice cause as usual my brain is always over thinking and I need to be certain about decisions \xf0\x9f\x98\x83'
2018-02-16 20:13:19,b'@BenasBmoney #Tizibika is the ish no doubt. Kaya what the rest are doing giving us substandard shows. first of all.\xe2\x80\xa6 https://t.co/r9oP4JS8Xx'
2018-02-16 20:01:29,b'Just watched #tizibika for the first time and enjoyed every bit of it. This is the show to watch'
2018-02-16 19:58:32,b'Charles is giving me life #Tizibika LOL'
2018-02-16 19:55:14,b'#tizibika this is a bit funny this kopala guy charles'
2018-02-16 19:52:38,"b""The nice thing about #Tizibika is that iss fresh, not a recycled idea like the play circle like shows that ain't even better than PlayCircle"""
2018-02-16 19:48:57,b'Currently\xf0\x9f\x92\x95 @jeSuis_Amy \n#Tizibika https://t.co/iq5a1KvIUf'
2018-02-16 19:48:18,b'RT @HoneyJewel9: We would be happy to have Thandi at Hot Fm \xf0\x9f\x98\x80\xf0\x9f\x98\x86 #tizibika'
2018-02-16 19:45:41,"b'I actually look forward to watching #Tizibika atleast, otherwise #Vina simaningi mweh.'"
2018-02-16 19:45:05,"b'That pallet bed, really nice @deejay_vixen looking at you #Tizibika'"
2018-02-16 19:40:19,b'LOL this Charles dude on #Tizibika is extra extra Wezi na shokwa'
2018-02-16 19:40:14,"b""LOL upon hearing ati K70 pin Wezi's demeanor LOL #Tizibika"""
2018-02-16 19:37:54,b'Shout out to my girl Amy. You giving #Tizibika new life. Proud of you.'
2018-02-16 19:37:15,"b""Watching #tizibika for the first time today and I must say I'm \xf0\x9f\x98\x8d can't stop \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82"""
2018-02-16 17:40:50,b'RT @iistargirl: Vina is rubbish. Can Zambezi magic please cancel it and make #Tizibika longer ? https://t.co/PXtv6tktY9'
2018-02-16 17:31:44,"b'RT @PetersenZambia: Jagurooo! Aka Charles. \n\nGirls go through a lot, chilling with Charles after hearing K70pin Mu account. #tizibika'"
2018-02-16 17:28:37,b'RT @kristina_miti: #tizibika  needed to be like #zuba \nCan\xe2\x80\x99t be waiting for this slay queen drama once a week \xf0\x9f\x99\x87\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x87\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
2018-02-16 16:17:07,b'Tizibika comes on too late(10pm)!!!! It should be right after Zuba please! #tizibika'
2018-02-16 14:41:57,b'RT @KukaMulenga: The way guys slide in DMs please...pictures like this are relevant #tizibika \xf0\x9f\x91\x80 https://t.co/Qw54z4JOky'
2018-02-16 13:13:35,b'RT @monde88: Finally watching #Tizibika and I\xe2\x80\x99m in stitches!!!\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Love this show already!!!!'
2018-02-16 12:32:55,b'Currently topping the #Trending list on #ZedTwitter:\n\n#Tizibika'
2018-02-16 11:59:46,"b""RT @zambezimagictv: ICYMI: Check out the highlights from last night's episode of #Tizibika by clicking on the image below. \nMake sure to tu\xe2\x80\xa6"""
2018-02-16 11:39:05,"b'#Tizibika is in a class of its own,  thanks #ZambesziMagic for another wonderful Zambian Show'"
2018-02-16 11:16:52,"b""ICYMI: Check out the highlights from last night's episode of #Tizibika by clicking on the image below. \nMake sure t\xe2\x80\xa6 https://t.co/aPjnhif5qF"""
